province_code,order,number,name,hall_postcode,meets_text,installation_text,source_url
durham,craft_lodge,4080,St Aidan Lodge,DH8 5TB,"Second Tuesday of March, April and May, September, October, November and December. The annual meeting to install the Master is in May each year. We usually meet to rehearse on the Wednesday in the week before each meeting.",,https://durhamfreemasons.org/lodges/lodge.php?slug=st-aidan-l4080
durham,craft_lodge,4114,Sunderland Lodge,SR2 7DX,We now meet on the first Friday of the month September to December and March to June. Lodge meets at 7.00 pm/ 6.00 pm Installation in November.,,https://durhamfreemasons.org/lodges/lodge.php?slug=sunderland-l4114
durham,craft_lodge,4217,Harte Lodge,TS24 8AH,,,https://durhamfreemasons.org/lodges/lodge.php?slug=3019-2
durham,craft_lodge,4218,Tyne Dock Lodge,NE34 6AS,"1st Thursday, September to June, Installation Meeting in March.",,https://durhamfreemasons.org/lodges/lodge.php?slug=tyne-dock-l4218
durham,craft_lodge,4231,Ryton Holy Cross Lodge,NE40 3AE,"2nd Monday every month, except August and September. Installation meeting October.",,https://durhamfreemasons.org/lodges/lodge.php?slug=ryton-holy-cross-l4231
durham,craft_lodge,4250,Derwent Lodge,DH8 5TB,4th Wednesday September to June 3rd Wednesday December,,https://durhamfreemasons.org/lodges/lodge.php?slug=derwent-l4250
durham,craft_lodge,4259,Nautilus Lodge,SR1 2HT,"3rd Friday of the month from September until June (except October which is the 3rd Saturday). Start time - 7pm (except October, which starts at 5:30pm).",,https://durhamfreemasons.org/lodges/lodge.php?slug=nautilus-l4259
durham,craft_lodge,4260,St Oswald Lodge,DL3 6LS,"The first Thursday of the month except for June, July, August and January at 18:45.",,https://durhamfreemasons.org/lodges/lodge.php?slug=st-oswald-l4260
durham,craft_lodge,4261,Lodge Stwart,SR7 7AA,3rd Tuesday September - May (Installation November).,,https://durhamfreemasons.org/lodges/lodge.php?slug=lodge-stewart-l4261
durham,craft_lodge,4345,Caer Urfa Lodge,NE33 2DQ,"2nd Wednesday of January, February, March, April, May, June, September, October, November (installation) and December.",,https://durhamfreemasons.org/lodges/lodge.php?slug=caer-urfa-l4345
durham,craft_lodge,4346,Washington Lodge,DH3 2PJ,,,https://durhamfreemasons.org/lodges/lodge.php?slug=washington-l4346
durham,craft_lodge,4347,Sancroft Lodge,DH4 7LQ,"The last Thursday in January, February, March, April, May, September, October and November.",,https://durhamfreemasons.org/lodges/lodge.php?slug=sancroft-l4347
